Generic,Brand,Class,Adverse reactions,Mechanism
amphetamine,ADDERALL; ADZENYS,Central Nervous System Stimulant,"Nervous System Anxiety Feeling Jittery Agitation Bruxism Psychiatric Disorders Insomnia Depression Metabolism and Nutritional Disorders Decreased Appetite Weight Decreased Gastrointestinal System Dry Mouth Diarrhea Cardiovascular System Heart Rate Increased Palpitations Genitourinary System Dysmenorrhea Dysmenorrhea was observed in females. Erectile Dysfunction Erectile dysfunction was observed in males. Adverse Reactions Reported by ≥2% or More of Adolescents Taking MYDAYIS and at Least Twice the Incidence in Patients Taking in a Week Clinical Trial Adverse Reaction MYDAYIS Nervous System Dizziness Metabolism and Nutrition Disorders Decreased appetite Weight decreased Psychiatric Disorders Irritability Insomnia Insomnia includes terms: initial insomnia, middle insomnia, terminal insomnia and insomnia. Gastrointestinal Disorders Nausea Abdominal pain upper",Amphetamines are non-catecholamine sympathomimetic amines with CNS stimulant activity. The exact mode of therapeutic action in ADHD is not known.
amphetamine salts,ADDERALL; ADZENYS,Central Nervous System Stimulant,"Nervous System Psychotic episodes at recommended doses, overstimulation, restlessness, irritability, euphoria, dyskinesia, dysphoria, depression, tremor, motor and verbal tics, aggression, anger, logorrhea, dermatillomania. Eye Disorders Vision blurred, mydriasis. Gastrointestinal Dryness of the mouth, unpleasant taste, diarrhea, constipation, intestinal ischemia, and other gastrointestinal disturbances. Anorexia and weight loss may occur as undesirable effects. Allergic Urticaria, rash, hypersensitivity reactions including angioedema and anaphylaxis. Serious skin rashes, including Stevens-Johnson syndrome and toxic epidermal necrolysis have been reported. Endocrine Impotence, changes in libido, frequent or prolonged erections. Skin Alopecia. Musculoskeletal Rhabdomyolysis. To report SUSPECTED ADVERSE REACTIONS, contact Teva at 1-888-838-2872 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","Amphetamine is known to inhibit monoamine oxidase, whereas the ability of amphetamine and its metabolites to inhibit various P450 isozymes and other enzymes has not been adequately elucidated. In vitro experiments with human microsomes indicate minor inhibition of CYP2D6 by amphetamine and minor inhibition of CYP1A2, 2D6, and 3A4 by one or more metabolites."
apomorphine,APOKYN; KYNMOBI,Dopamine agonist,Reported by ≥5% of Patients Treated with ONAPGO and More Frequently than in Study ONAPGO Variable doses Infusion site nodule Nausea Somnolence Infusion site erythema Dyskinesia Headache Insomnia Dizziness Hypotension Asthenia Fatigue Constipation Vomiting,"ONAPGO is a non-ergoline dopamine agonist with high in vitro binding affinity for the dopamine D4 receptor, and moderate affinity for the dopamine D2, D3, and D5, and adrenergic α1D, α2B, α2C receptors. The precise mechanism of action of ONAPGO as a treatment for Parkinson's disease is unknown, although it is believed to be due to stimulation of post-synaptic dopamine D2-type receptors within the caudate-putamen in the brain."
aripiprazole,ABILIFY; OPIPZA,Atypical antipsychotic,"Aripiprazole Eye Disorders Blurred Vision Gastrointestinal Disorders Nausea Constipation Vomiting Dyspepsia Dry Mouth Toothache Abdominal Discomfort Stomach Discomfort General Disorders and Administration Site Conditions Fatigue Pain Musculoskeletal and Connective Tissue Disorders Musculoskeletal Stiffness Pain in Extremity Myalgia Muscle Spasms Nervous System Disorders Headache Dizziness Akathisia Sedation Extrapyramidal Disorder Tremor Somnolence Psychiatric Disorders Agitation Insomnia Anxiety Restlessness Respiratory, Thoracic, and Mediastinal Disorders Pharyngolaryngeal Pain Cough Adverse reactions reported by at least of patients treated with oral aripiprazole, except adverse reactions which had an incidence equal to or less than . Aripiprazole Sedation Fatigue Vomiting Somnolence Tremor Pyrexia Drooling Decreased Appetite Salivary Hypersecretion Extrapyramidal Disorder Lethargy Aripiprazole Sedation Somnolence Nausea Headache Nasopharyngitis Fatigue Increased Appetite Aripiprazo","The mechanism of action of aripiprazole in schizophrenia is unclear. However, the efficacy of aripiprazole in the listed indications could be mediated through a combination of partial agonist activity at D 2 and 5-HT 1A receptors and antagonist activity at 5-HT 2A receptors."
aripiprazole lauroxil,ARISTADA,Other antipsychotic,General disorders and administration site conditions Injection site pain Investigations Increased weight Increased blood creatine phosphokinase Nervous system disorders Akathisia Headache Psychiatric disorders Insomnia Restlessness Incidence of EPS Compared to ARISTADA Akathisia Restlessness Other EPS Dystonia Parkinsonism,Aripiprazole lauroxil is a prodrug of aripiprazole. The mechanism of action of aripiprazole in schizophrenia is unknown.
asenapine,SAPHRIS; SECUADO,Atypical antipsychotic,Gastrointestinal disorders Dyspepsia Oral hypoesthesia General disorders Fatigue Edema peripheral Investigations Increased weight Nervous system disorders Dizziness Other extrapyramidal symptoms (excluding akathisia) Somnolence Psychiatric disorders Insomnia Vascular disorders Hypertension,"The mechanism of action of asenapine, in bipolar disorder, is unknown. 12.2"
atomoxetine,STRATTERA,Norepinephrine reuptake inhibitor,Gastrointestinal Disorders Abdominal Pain b Vomiting Nausea General Disorders and Administration Site Conditions Fatigue Irritability Therapeutic response unexpected Investigations Weight decreased Metabolism and Nutritional Disorders Decreased appetite Anorexia Nervous System Disorders Headache Somnolence c Dizziness Skin and Subcutaneous Tissue Disorders Rash Adverse Reaction from BID Trials from QD Trials Atomoxetine Atomoxetine Gastrointestinal Disorders Abdominal Pain a Vomiting Nausea Constipation b General Disorders Fatigue Psychiatric Disorders Mood swings c Adverse Reaction a Atomoxetine Cardiac Disorders Palpitations Gastrointestinal Disorders Dry mouth Nausea Constipation Abdominal pain b Dyspepsia Vomiting General Disorders and Administration Site Conditions Fatigue Chills Feeling jittery Irritability Thirst Investigations Weight decreased Metabolism and Nutritional Disorders Decreased appetite Nervous System Disorders Dizziness Somnolence c Paraesthesia Psychiatric Disorde,"The precise mechanism by which atomoxetine produces its therapeutic effects in Attention-Deficit/Hyperactivity Disorder (ADHD) is unknown, but is thought to be related to selective inhibition of the pre-synaptic norepinephrine transporter, as determined in ex vivo uptake and neurotransmitter depletion studies. 12.2"
benserazide,,Aromatic L-amino acid decarboxylase inhibitor,,
benztropine,,Muscarinic antagonist,"Nervous System Toxic psychosis, including confusion, disorientation, memory impairment, visual hallucinations; exacerbation of preexisting psychotic symptoms; nervousness; depression; listlessness; numbness of fingers. Special Senses Blurred vision, dilated pupils. Urogenital Urinary retention, dysuria. Metabolic/Immune or Skin Occasionally, an allergic reaction, e.g., skin rash, develops. If this cannot be controlled by dosage reduction, the medication should be discontinued. Other Heat stroke, hyperthermia, fever.","Benztropine mesylate possesses both anticholinergic and antihistaminic effects, although only the former have been established as therapeutically significant in the management of parkinsonism. In the isolated guinea pig ileum, the anticholinergic activity of this drug is about equal to that of atropine; however, when administered orally to unanesthetized cats, it is only about half as active as atropine."
biperiden,,Muscarinic antagonist,,
brexpiprazole,REXULTI,Atypical antipsychotic,"Gastrointestinal Disorders Constipation General Disorders and Administration Site Conditions Fatigue Infections and Infestations Nasopharyngitis Investigations Weight Increased Blood Cortisol Decreased Metabolism and Nutrition Increased Appetite Nervous System Disorders Akathisia Headache Somnolence Tremor Dizziness Psychiatric Disorders Anxiety Restlessness Adverse Reactions in ≥2% of REXULTI-Treated Patients and Greater than in Adult Patients (Study and Study REXULTI ALL REXULTI Gastrointestinal Disorders Dyspepsia Diarrhea Investigations Weight Increased Blood Creatinine Phosphokinase Increased Nervous System Disorders Akathisia Tremor Sedation Adverse Reactions in ≥2% of REXULTI-Treated Patients and Greater than in 6-Week - and Active Controlled, Schizophrenia Study in Pediatric Patients to years of age (Study REXULTI Gastrointestinal Disorders Nausea Nervous System Disorders Akathisia Extrapyramidal Symptoms Extrapyramidal Symptoms includes: blepharospasm, dystonia, extrapyramidal","The mechanism of action of REXULTI in the adjunctive treatment of major depressive disorder, treatment of agitation associated with dementia due to Alzheimer's disease, or treatment of schizophrenia is unknown. However, the efficacy of REXULTI may be mediated through a combination of partial agonist activity at serotonin 5-HT 1A and dopamine D 2 receptors, and antagonist activity at serotonin 5-HT 2A receptors."
bromocriptine,CYCLOSET; PARLODEL,Dopamine agonist,"Occurring in ≥5% in CYCLOSET-Treated Patients and More Frequent than in in CYCLOSET Clinical Trials All randomized subjects receiving at least one dose of study drug Monotherapy CYCLOSET – N N Nausea Rhinitis Headache Asthenia Dizziness Constipation Sinusitis Diarrhea Amblyopia Dyspepsia Vomiting Infection Anorexia Adjunct to Sulfonylurea pooled 24-week studies) Nausea Asthenia Headache Flu syndrome Constipation Cold Dizziness Rhinitis Sinusitis Somnolence Vomiting Amblyopia 52-Week Safety Trial The Safety Trial enrolled patients treated with diet or no more than antidiabetic medications (metformin, insulin secretagogues such as a sulfonylurea, thiazolidinediones, alpha glucosidase inhibitors, and/or insulin). Nausea Dizziness Fatigue Headache Vomiting Diarrhea Constipation","CYCLOSET contains bromocriptine mesylate, a sympatholytic, dopamine D2 receptor agonist. In patients with type 2 diabetes, timed morning administration of CYCLOSET is associated with increased insulin sensitivity and glucose disposal and reduced fasting and postprandial hyperglycemia throughout the meals of the day without raising plasma insulin levels."
buprenorphine,BELBUCA; BRIXADI,Opioid use disorder agent,"Nervous System Insomnia Respiratory System Rhinitis Skin and Appendages Sweating Adverse Events (≥5%) by and Treatment Group in a 16-week Study / Adverse Event (COSTART Terminology) Buprenorphine Dose Sublingual solution. Doses in this table cannot necessarily be delivered in tablet form, but for comparison purposes: ""Very low"" dose solution) would be less than a tablet dose of mg. ""Low"" dose solution) approximates a tablet dose. ""Moderate"" dose solution) approximates a tablet dose. ""High"" dose solution) approximates a tablet dose. Very Low Low Moderate High Total N N N N N Body as a Whole Abscess Asthenia Chills Fever Flu Syndrome Headache Infection Injury Accidental Pain Pain Back Withdrawal Syndrome Digestive System Constipation Diarrhea Dyspepsia Nausea Vomiting Nervous System Anxiety Depression Dizziness Insomnia Nervousness Somnolence Respiratory System Cough Increase Pharyngitis Rhinitis Skin and Appendages Sweat Special Senses Runny Eyes","Buprenorphine sublingual tablets contain buprenorphine, a partial agonist at the mu-opioid receptor and an antagonist at the kappa-opioid receptor. 12.2"
bupropion,APLENZIN; AUVELITY,Selective serotonin reuptake inhibitor,"Musculoskeletal Myalgia Arthralgia Arthritis Twitch ‑ Nervous System Insomnia Dizziness Agitation Anxiety Tremor Nervousness Somnolence Irritability Memory decreased - Paresthesia Central nervous system stimulation Respiratory Pharyngitis Sinusitis Increased cough Skin Sweating Rash Pruritus Urticaria Special Senses Tinnitus Taste perversion - Blurred vision or diplopia Urogenital Urinary frequency Urinary urgency _ Vaginal hemorrhage _ Urinary tract infection _ Adverse Reactions in -Controlled Trials in Patients with SAD S ystem Organ Class/ P lacebo Bup r opion HCl E xtended-Release Gastrointestinal Disorder Dry mouth Nausea Constipation Flatulence Abdominal pain Nervous System Disorders Headache Dizziness Tremor Infections and Infestations Nasopharyngitis Upper respiratory tract infection Sinusitis Psychiatric Disorders Insomnia Anxiety Abnormal dreams Agitation Musculoskeletal and Connective Tissue Disorders Myalgia Pain in extremity Respiratory, Thoracic, and Mediastinal Disorders","The mechanism of action of bupropion is unknown, as is the case with other antidepressants. However, it is presumed that this action is mediated by noradrenergic and/or dopaminergic mechanisms."
buspirone,BUCAPSOL; BUSPAR,Hypnotic,Gastrointestinal Nausea Dry Mouth Abdominal/Gastric Distress Diarrhea - Constipation Vomiting Musculoskeletal Musculoskeletal Aches/Pains - Neurological Numbness - Paresthesia - Incoordination - Tremor - Skin Skin Rash - Miscellaneous Headache Fatigue Weakness - Sweating/Clamminess,The mechanism of action of buspirone is unknown. In vitro preclinical studies have shown that buspirone has a high affinity for serotonin (5-HT 1A ) receptors.
butalbital,ALLZITAL; ASCOMP,Barbiturate,"Nervous System: headache, shaky feeling, tingling, agitation, fainting, fatigue, heavy eyelids, high energy, hot spells, numbness, sluggishness, seizure. Mental confusion, excitement, or depression can also occur due to intolerance, particularly in elderly or debilitated patients, or due to overdosage of butalbital. Autonomic Nervous System: dry mouth, hyperhidrosis. Gastrointestinal: difficulty swallowing, heartburn, flatulence, constipation. Cardiovascular: tachycardia. Musculoskeletal: leg pain, muscle fatigue. Genitourinary: diuresis. Miscellaneous: pruritus, fever, earache, nasal congestion, tinnitus, euphoria, allergic reactions. Several cases of dermatological reactions, including toxic epidermal necrolysis and erythema multiforme, have been reported. The following adverse drug events may be borne in mind as potential effects of the components of this product. Potential effects of high dosage are listed in the OVERDOSAGE section. Acetaminophen: allergic reactions, rash, thromboc",They are bound to plasma and tissue proteins to a varying degree and binding increases directly as a function of lipid solubility. The in vitro plasma protein binding of butalbital is 45% over the concentration range of 0.5-20 mcg/mL.
cannabis,,Illicit psychoactive substance,,
cannabis sativa seed oil,,Illicit psychoactive substance,,
carbamazepine,CARBATROL; EPITOL,Mood Stabilizer,"Respiratory System: Pulmonary hypersensitivity characterized by fever, dyspnea, pneumonitis or pneumonia. Genitourinary System: Urinary frequency, acute urinary retention, oliguria with elevated blood pressure, azotemia, renal failure, and impotence. Albuminuria, glycosuria, elevated BUN, and microscopic deposits in the urine have also been reported. There have been rare reports of impaired male fertility and/or abnormal spermatogenesis. Testicular atrophy occurred in rats receiving carbamazepine orally from to weeks at dosage levels of to mg/kg/day. Additionally, rats receiving carbamazepine in the diet for years at dosage levels of and mg/kg/day had a dose-related incidence of testicular atrophy and aspermatogenesis. In dogs, it produced a brownish discoloration, presumably a metabolite, in the urinary bladder at dosage levels of mg/kg and higher. Relevance of these findings to humans is unknown. Nervous System: Dizziness, drowsiness, disturbances of coordination, confusion, headache",Mechanism of Action Carbamazepine has demonstrated anticonvulsant properties in rats and mice with electrically and chemically induced seizures. The mechanism of action remains unknown.
carbidopa,CREXONT; DHIVY,Aromatic L-amino acid decarboxylase inhibitor,Adverse Reaction Dose Conversion Period Double-Blind Period CREXONT CREXONT Immediate-Release Carbidopa-Levodopa Nausea Anxiety Dizziness Dyskinesia Constipation Headache Vomiting Insomnia,"Carbidopa inhibits the decarboxylation of peripheral levodopa, making more levodopa available for delivery to the brain. This is thought to be the mechanism whereby levodopa treats symptoms of Parkinson's disease."
cariprazine,VRAYLAR,Atypical antipsychotic,Cardiac Disorder s Tachycardia a Gastrointestinal Disorders Abdominal pain b Constipation Diarrhea c Dry Mouth Dyspepsia Nausea Toothache Vomiting General Disorders/Administration Site Conditions Fatigue d Infections and Infestations Nasopharyngitis Urinary tract infection -treated Adult Patients in 3-Week Bipolar Mania Trials VRAYLAR Cardiac Disorders Tachycardia a Eye Disorders Vision blurred Gastrointestinal Disorders Nausea Constipation Vomiting Dry mouth Dyspepsia Abdominal pain b Diarrhea c Toothache General Disorders/Administration Site Conditions Fatigue d Pyrexia e Investigations Blood creatine phosphokinase increased Hepatic enzymes increased f -treated Adult Patients in Two 6-Week and One 8-Week Bipolar Depression Trials VRAYLAR Restlessness Akathisia Extrapyramidal symptoms a Dizziness Somnolence b Nausea Increased appetite Weight increase -Treated Adult Patients in Two Fixed-Dose 6-Week -Controlled Trials of Adjunctive Treatment of Major Depressive Disorder + ADT VRAYLAR +,"The mechanism of action of cariprazine is unknown. However, the efficacy of cariprazine could be mediated through a combination of partial agonist activity at central dopamine D 2 and serotonin 5-HT 1A receptors and antagonist activity at serotonin 5-HT 2A receptors."
chlordiazepoxide,LIBRAX,Benzodiazepine,"The necessity of discontinuing therapy because of undesirable effects has been rare. Drowsiness, ataxia and confusion have been reported in some patients particularly the elderly and debilitated. While these effects can be avoided in almost all instances by proper dosage adjustment, they have occasionally been observed at the lower dosage ranges. In a few instances syncope has been reported. Other adverse reactions reported during therapy include isolated instances of skin eruptions, edema, minor menstrual irregularities, nausea and constipation, extrapyramidal symptoms, as well as increased and decreased libido. Such side effects have been infrequent, and are generally controlled with reduction of dosage. Changes in EEG patterns (low-voltage fast activity) have been observed in patients during and after chlordiazepoxide HCl treatment. Blood dyscrasias (including agranulocytosis), jaundice and hepatic dysfunction have occasionally been reported during therapy. When chlordiazepoxide HCl","The precise mechanism of action is not known. Chlordiazepoxide HCl has antianxiety, sedative, appetite-stimulating and weak analgesic actions."
chlorpromazine,,Typical antipsychotic,"cardiac arrest, has been reported. CNS Reactions: Extrapyramidal Symptoms– Neuromuscular reactions include dystonias, motor restlessness, pseudo-parkinsonism and tardive dyskinesia, and appear to be dose-related. They are discussed in the following paragraphs: Dystonia: Class effect: Symptoms of dystonia, prolonged abnormal contractions of muscle groups, may occur in susceptible individuals during the first few days of treatment. Dystonic symptoms include: spasm of the neck muscles, sometimes progressing to tightness of the throat, swallowing difficulty, difficulty breathing, and/or protrusion of the tongue. While these symptoms can occur at low doses, they occur more frequently and with greater severity with high potency and at higher doses of first generation antipsychotic drugs. An elevated risk of acute dystonia is observed in males and younger age groups. Motor Restlessness: Symptoms may include agitation or jitteriness and sometimes insomnia. These symptoms often disappear sponta",The precise mechanism whereby the therapeutic effects of chlorpromazine are produced is not known. The principal pharmacological actions are psychotropic.
citalopram,CELEXA,Selective serotonin reuptake inhibitor,"cardiac failure, flushing, myocardial infarction, cerebrovascular accident, myocardial ischemia. Rare: transient ischemic attack, phlebitis, atrial fibrillation, cardiac arrest, bundle branch block. Central and Peripheral Nervous System Disorders - Frequent: paresthesia, migraine. Infrequent: hyperkinesia, vertigo, hypertonia, extrapyramidal disorder, leg cramps, involuntary muscle contractions, hypokinesia, neuralgia, dystonia, abnormal gait, hypoesthesia, ataxia. Rare: abnormal coordination, hyperesthesia, ptosis, stupor. Endocrine Disorders - Rare: hypothyroidism, goiter, gynecomastia. Gastrointestinal Disorders - Frequent: saliva increased, flatulence. Infrequent: gastritis, gastroenteritis, stomatitis, eructation, hemorrhoids, dysphagia, teeth grinding, gingivitis, esophagitis. Rare: colitis, gastric ulcer, cholecystitis, cholelithiasis, duodenal ulcer, gastroesophageal reflux, glossitis, jaundice, diverticulitis, rectal hemorrhage, hiccups. General - Infrequent: hot flushes, rigo","The mechanism of action of citalopram is unclear, but is presumed to be related to potentiation of serotonergic activity in the central nervous system (CNS) resulting from its inhibition of CNS neuronal reuptake of serotonin (5-HT). 12.2"
clomipramine,ANAFRANIL; Calmera,Tricyclic Antidepressant,Nervous System Somnolence Tremor Dizziness Headache Insomnia Libido change - - Nervousness Myoclonus - - Increased appetite - Paresthesia Memory impairment Anxiety - Twitching Impaired concentration - - Depression - - Hypertonia - Sleep disorder - Psychosomatic disorder - - - Yawning - - - Confusion - - Speech disorder - - - Abnormal dreaming - - Agitation - - - Migraine - - - Depersonalization - - Irritability - Emotional lability - - Panic reaction - - Aggressive reaction - - - Paresis - - - Skin and Appendages Increased sweating - Rash Pruritus - Dermatitis - - Acne - Dry skin - - Urticaria - - - Abnormal skin odor - - - Digestive System Dry mouth Constipation Nausea Dyspepsia Diarrhea Anorexia - Abdominal pain Vomiting - Flatulence - Tooth disorder - - - Gastrointestinal disorder - - Dysphagia - - - Esophagitis - - - Eructation - - Ulcerative stomatitis - - - Body as a Whole Fatigue Weight increase - Flushing - - Hot flushes - - Chest pain - Fever - Allergy Pain Local edema - - Chi,"The actual neurochemical mechanism is unknown, but CMI’s capacity to inhibit the reuptake of serotonin (5-HT) is thought to be important. The protein binding of CMI is approximately 97%, principally to albumin, and is independent of CMI concentration."
clonazepam,KLONOPIN,Benzodiazepine,"Gastrointestinal: Anorexia, coated tongue, constipation, diarrhea, dry mouth, encopresis, gastritis, increased appetite, nausea, sore gums Genitourinary: Dysuria, enuresis, nocturia, urinary retention Hematopoietic: Anemia, leukopenia, thrombocytopenia, eosinophilia Hepatic: Hepatomegaly, transient elevations of serum transaminases and alkaline phosphatase Musculoskeletal: Muscle weakness, pains Miscellaneous: Dehydration, general deterioration, fever, lymphadenopathy, weight loss or gain Neurologic: Abnormal eye movements, aphonia, choreiform movements, coma, diplopia, dysarthria, dysdiadochokinesis, ‘‘glassy-eyed’’ appearance, headache, hemiparesis, hypotonia, nystagmus, respiratory depression, slurred speech, tremor, vertigo Psychiatric: Confusion, depression, amnesia, hysteria, increased libido, insomnia, psychosis (the behavior effects are more likely to occur in patients with a history of psychiatric disturbances). The following paradoxical reactions have been observed: irritabil","The precise mechanism by which clonazepam exerts its antiseizure and antipanic effects is unknown, although it is believed to be related to its ability to enhance the activity of gamma aminobutyric acid (GABA), the major inhibitory neurotransmitter in the central nervous system. Pharmacokinetics: Clonazepam is rapidly and completely absorbed after oral administration."
